V1,V2,V3,V4,V5,V7,V8,V9,V10,PID,psid,K2,project,gc,term,Q_TotalDuration,med,consent,suburb,tap,p01,p02,p03,p04,p05,p06,p07,p08,p09,p10,hardship,contact,trap,t01,t02,t03,t04,t05,f01,f02,f03,f04,f05,f06,f07,f08,f09,f10,f11,f12,f13
R_7973uT3ayU8g7nD,Default Response Set,Anonymous,NA,NA,0,2015-03-18 10:49:37,2015-03-18 10:51:10,1,1260074765,iZXUO4qzTRQmiR1W36Zy_Q**,27197,Qual712-0618WaterUtilities,1,NA,93,18938923690753,1,2,1,7,7,4,2,6,1,7,4,7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
R_a44PZRccGLwPGvz,Default Response Set,Anonymous,NA,NA,0,2015-03-18 10:52:13,2015-03-18 10:55:19,1,1270684607,iZXUO4qzTRSEZNZ8RKH8SA**,27197,Qual712-0618WaterUtilities,1,NA,186,19098389616013,1,3,1,2,2,5,6,7,4,6,4,6,5,2,1,1,7,6,4,6,6,6,6,7,6,7,6,6,5,6,6,7,6,6
R_2aGW20PUc3ZcqR7,Default Response Set,Anonymous,NA,NA,0,2015-03-18 10:56:17,2015-03-18 10:58:45,1,1278080479,iZXUO4qzTRQBaZ60-S_yiA**,27197,Qual712-0618WaterUtilities,1,NA,148,19209549572173,1,3,1,1,1,7,7,7,7,1,1,1,1,2,1,1,7,6,4,1,6,6,5,3,4,1,3,4,4,1,4,3,4,2
R_3q8frUaJqvFcwLz,Default Response Set,Anonymous,NA,NA,0,2015-03-18 10:56:49,2015-03-18 10:59:58,1,1260539937,iZXUO4qzTRQFlFth8mM2Uw**,27197,Qual712-0618WaterUtilities,1,NA,189,18945915225913,1,2,1,1,1,7,6,7,5,4,2,2,4,1,3,1,7,7,7,4,7,7,6,3,6,7,7,3,4,4,5,7,7,7
R_9QxZ8jyrUMDqvA1,Default Response Set,Anonymous,NA,NA,0,2015-03-18 11:02:17,2015-03-18 11:05:27,1,1254228890,iZXUO4qzTRS4mxet1sonKA**,27197,Qual712-0618WaterUtilities,1,NA,190,18851060189503,1,3,1,1,2,7,7,7,5,5,3,5,2,2,1,1,6,6,6,6,6,5,6,4,5,4,5,4,4,6,4,6,4,6
R_1MpT5RGSfePXPSt,Default Response Set,Anonymous,NA,NA,0,2015-03-18 11:03:29,2015-03-18 11:07:08,1,1236019071,iZXUO4qzTRRgDrsVY-0rrQ**,27197,Qual712-0618WaterUtilities,1,NA,219,18577366609933,1,1,1,1,4,7,7,7,4,4,4,4,4,1,1,1,7,4,7,4,7,4,7,4,7,4,7,4,4,7,4,7,4,4
R_6nvMSaMnjSF01y5,Default Response Set,Anonymous,NA,NA,0,2015-03-18 11:07:03,2015-03-18 11:07:39,1,1232769034,iZXUO4qzTRRiPC4a75osqA**,27197,Qual712-0618WaterUtilities,2,otherCity,36,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_0p3ppdVnTZbNaqp,Default Response Set,Anonymous,NA,NA,0,2015-03-18 10:58:27,2015-03-18 11:08:30,1,1106437226,iZXUO4qzTRQBuICYkYog5g**,27197,Qual712-0618WaterUtilities,1,NA,603,16629751479583,1,1,1,2,2,6,6,7,5,4,4,5,4,2,1,1,6,6,5,6,6,5,6,6,6,6,6,5,6,5,5,6,5,6
R_2afuDr8p24pmpPT,Default Response Set,Anonymous,NA,NA,0,2015-03-18 11:05:00,2015-03-18 11:08:38,1,1136403948,iZXUO4qzTRT6cEjYug96uA**,27197,Qual712-0618WaterUtilities,1,NA,218,17080151311243,1,2,1,1,1,6,7,5,5,3,4,5,3,6,1,1,7,4,4,3,6,5,6,6,6,5,6,5,6,5,6,5,6,6
R_08ptB3gmZgCsVI9,Default Response Set,Anonymous,NA,NA,0,2015-03-18 11:06:27,2015-03-18 11:09:45,1,1125142026,iZXUO4qzTRRdKn-EUmG6rw**,27197,Qual712-0618WaterUtilities,1,NA,198,16910884623583,1,2,1,1,1,6,7,7,5,4,3,4,3,1,1,1,7,7,7,6,7,7,7,4,7,4,7,4,4,4,4,7,4,7
R_8uoXmNLngytfnut,Default Response Set,Anonymous,NA,NA,0,2015-03-18 11:10:12,2015-03-18 11:12:38,1,1277453979,iZXUO4qzTRTDUhk2Rvc2jQ**,27197,Qual712-0618WaterUtilities,1,NA,146,19200133277173,1,1,1,1,1,7,7,7,7,1,1,1,1,5,2,1,7,7,7,6,6,6,6,7,6,7,7,7,6,6,6,7,7,6
R_eSgClPtT0qZu7Wd,Default Response Set,Anonymous,NA,NA,0,2015-03-18 11:12:46,2015-03-18 11:17:07,1,1267792778,iZXUO4qzTRSJgL3ZvIwSVQ**,27197,Qual712-0618WaterUtilities,1,NA,261,19054925426143,1,3,1,7,7,1,7,1,1,7,7,1,1,5,1,1,7,7,6,7,7,5,6,7,7,5,6,5,5,5,5,5,5,5
R_2tSRp9bgPTS7usd,Default Response Set,Anonymous,NA,NA,0,2015-03-18 11:16:09,2015-03-18 11:19:04,1,1276470625,iZXUO4qzTRQnNlL6lXx_yA**,27197,Qual712-0618WaterUtilities,1,NA,175,19185353466553,1,3,1,7,1,7,7,7,7,7,1,7,1,5,1,1,7,2,1,2,5,3,1,1,1,1,1,1,1,7,1,3,1,1
R_8AOODjRHPmQgpYF,Default Response Set,Anonymous,NA,NA,0,2015-03-18 11:18:16,2015-03-18 11:20:01,1,1277759272,iZXUO4qzTRSSvnZqPlsQBA**,27197,Qual712-0618WaterUtilities,2,attention,105,NA,1,1,1,1,1,7,7,7,4,4,2,2,3,2,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_b960dUHDUweAz6l,Default Response Set,Anonymous,NA,NA,0,2015-03-18 11:20:09,2015-03-18 11:20:25,1,1278521610,iZXUO4qzTRQF-Y3x5WvqBw**,27197,Qual712-0618WaterUtilities,2,otherCity,16,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_8ppdnxm3OZa1xVb,Default Response Set,Anonymous,NA,NA,0,2015-03-18 11:20:07,2015-03-18 11:24:22,1,1220279513,iZXUO4qzTRTqkgKE8m_QsA**,27197,Qual712-0618WaterUtilities,1,NA,255,18340801053193,1,2,1,1,1,7,7,7,5,4,2,3,4,1,1,1,7,7,7,6,7,4,4,4,5,4,4,4,4,4,4,4,4,4
R_cT24TbQo7WgXO3H,Default Response Set,Anonymous,NA,NA,0,2015-03-18 11:24:50,2015-03-18 11:25:07,1,1277326571,iZXUO4qzTRSvKkn2860UHQ**,27197,Qual712-0618WaterUtilities,2,otherCity,17,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_czFORnQ9iB3fw7b,Default Response Set,Anonymous,NA,NA,0,2015-03-18 11:28:07,2015-03-18 11:29:56,1,1277597217,iZXUO4qzTRR9NuUnJyz_jg**,27197,Qual712-0618WaterUtilities,1,NA,109,19202286144313,1,2,1,6,2,6,2,5,1,7,7,7,4,2,2,1,5,4,5,2,5,5,4,5,6,5,6,4,6,4,3,4,2,3
R_8H4YKKJV4wgFUdn,Default Response Set,Anonymous,NA,NA,0,2015-03-18 11:24:52,2015-03-18 11:31:17,1,1277783266,iZXUO4qzTRSBJGDf84wymg**,27197,Qual712-0618WaterUtilities,1,NA,385,19205082460783,1,3,1,2,3,7,6,7,4,3,2,4,5,2,2,1,6,5,5,5,5,5,5,6,6,4,6,4,4,4,4,6,4,4
R_eA8mePlxCEREDDT,Default Response Set,Anonymous,NA,NA,0,2015-03-18 11:30:12,2015-03-18 11:35:28,1,1089463629,iZXUO4qzTRQdo032IAUpsw**,27197,Qual712-0618WaterUtilities,1,NA,316,16374638316673,1,1,1,1,3,4,7,7,1,7,3,7,7,6,1,1,6,7,6,4,6,4,5,3,6,3,5,2,3,4,1,5,6,2
R_aguCe31PfmCSPT7,Default Response Set,Anonymous,NA,NA,0,2015-03-18 11:34:49,2015-03-18 11:37:38,1,1272026929,iZXUO4qzTRSTxSbEix59nw**,27197,Qual712-0618WaterUtilities,1,NA,169,19118564715673,1,3,1,2,6,2,2,1,3,6,6,5,7,2,3,1,6,5,5,3,6,4,6,5,4,7,5,5,3,4,5,2,6,4
R_1NOwtLtBXBYnHgx,Default Response Set,Anonymous,NA,NA,0,2015-03-18 11:34:50,2015-03-18 11:38:45,1,1131993287,iZXUO4qzTRQfP6LWoMBPiw**,27197,Qual712-0618WaterUtilities,1,NA,235,17013859076413,1,3,1,4,2,4,5,7,4,5,4,4,4,2,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
R_0fbp6DqVuGxPWWF,Default Response Set,Anonymous,NA,NA,0,2015-03-19 08:15:29,2015-03-19 08:15:49,1,1213675326,iZXUO4qzTRSYS8HrvSxTww**,27197,Qual712-0618WaterUtilities,2,otherCity,20,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_9Z8cJWTzukJizxb,Default Response Set,Anonymous,NA,NA,0,2015-03-19 08:22:26,2015-03-19 08:22:46,1,1207310909,iZXUO4qzTRQ8x6tYBmbBPQ**,27197,Qual712-0618WaterUtilities,2,otherCity,20,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_9RdfgC1Z1N2J6g5,Default Response Set,Anonymous,NA,NA,0,2015-03-19 08:20:43,2015-03-19 08:23:04,1,1175083718,iZXUO4qzTRRIe-dmr-uRyg**,27197,Qual712-0618WaterUtilities,1,NA,141,17661508254343,1,2,1,2,2,6,6,6,5,3,3,3,3,4,2,1,5,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4
R_8eHSxFWQ6o7RkUJ,Default Response Set,Anonymous,NA,NA,0,2015-03-19 08:23:29,2015-03-19 08:23:55,1,1271989998,iZXUO4qzTRRbx1uJYI3IxQ**,27197,Qual712-0618WaterUtilities,2,otherCity,26,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_38JiiPeuBjlu4VT,Default Response Set,Anonymous,NA,NA,0,2015-03-19 08:19:37,2015-03-19 08:24:12,1,1250032102,iZXUO4qzTRQHn24dpnV_gg**,27197,Qual712-0618WaterUtilities,1,NA,275,18787982465863,1,1,1,1,1,7,7,7,5,6,4,7,2,2,2,1,7,6,6,6,7,4,7,7,7,7,7,7,4,5,4,5,6,7
R_eyWnbeExxr997eJ,Default Response Set,Anonymous,NA,NA,0,2015-03-19 08:25:13,2015-03-19 08:25:34,1,1230079889,iZXUO4qzTRROKMFzdwyL-A**,27197,Qual712-0618WaterUtilities,2,otherCity,21,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_eRT0QeQwYfZA6Xz,Default Response Set,Anonymous,NA,NA,0,2015-03-19 08:18:30,2015-03-19 08:26:01,1,1278611737,iZXUO4qzTRScNzjHUPeHCA**,27197,Qual712-0618WaterUtilities,1,NA,451,19217534379913,1,2,1,2,3,7,7,7,2,6,5,6,6,3,3,1,7,6,7,2,5,7,7,7,7,7,7,6,3,6,6,7,6,7
R_8J5MHkVy8XFhbLv,Default Response Set,Anonymous,NA,NA,0,2015-03-19 08:17:03,2015-03-19 08:30:06,1,1254388122,iZXUO4qzTRT7GcZiQXFTng**,27197,Qual712-0618WaterUtilities,1,NA,783,18853453446463,1,3,1,1,1,5,5,5,4,4,3,4,4,1,1,1,6,4,6,6,6,6,4,5,5,4,4,4,4,4,4,6,6,5
R_bD9qdbZSsIavJXL,Default Response Set,Anonymous,NA,NA,0,2015-03-19 08:27:44,2015-03-19 08:31:10,1,1274630427,iZXUO4qzTRTHauSbe9uVDg**,27197,Qual712-0618WaterUtilities,1,NA,206,19157695290613,1,1,1,1,1,7,7,7,6,3,3,2,4,1,2,1,7,7,7,6,7,6,7,5,7,6,7,5,5,5,5,5,4,5
R_d6G5zF1c214RqJf,Default Response Set,Anonymous,NA,NA,0,2015-03-19 08:29:42,2015-03-19 08:31:12,1,1278611180,iZXUO4qzTRQJvHW1lAiF2g**,27197,Qual712-0618WaterUtilities,2,attention,90,NA,1,2,1,1,1,6,7,7,6,3,1,4,2,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_4YIk0zaIoNajjxz,Default Response Set,Anonymous,NA,NA,0,2015-03-19 08:30:37,2015-03-19 08:31:56,1,1275236440,iZXUO4qzTRTQNj52nldhCA**,27197,Qual712-0618WaterUtilities,2,attention,79,NA,1,1,1,1,1,6,6,7,7,4,6,4,1,2,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_a47wUHxGAuot1qJ,Default Response Set,Anonymous,NA,NA,0,2015-03-19 08:25:52,2015-03-19 08:33:54,1,1277995688,iZXUO4qzTRTk58tZxRq1cg**,27197,Qual712-0618WaterUtilities,1,NA,482,19208275163443,1,3,1,1,1,7,7,7,7,1,1,1,1,3,3,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
R_0w8MqYSDzcLXFk1,Default Response Set,Anonymous,NA,NA,0,2015-03-19 08:20:48,2015-03-19 08:35:08,1,1278607452,iZXUO4qzTRT0Hef40cJGMw**,27197,Qual712-0618WaterUtilities,1,NA,860,19217469976363,1,3,1,1,1,7,7,7,1,7,7,4,4,4,1,1,7,3,7,4,3,5,6,5,4,5,4,4,4,6,4,4,4,6
R_88JIPJpEZw4MErH,Default Response Set,Anonymous,NA,NA,0,2015-03-19 08:30:36,2015-03-19 08:35:13,1,1254309806,iZXUO4qzTRRIYv5KJHvSMg**,27197,Qual712-0618WaterUtilities,2,otherCity,277,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_38koPjUixZzh0Fv,Default Response Set,Anonymous,NA,NA,0,2015-03-19 08:33:25,2015-03-19 08:36:33,1,1276671296,iZXUO4qzTRTJNdpGPefAvA**,27197,Qual712-0618WaterUtilities,1,NA,188,19188369551683,1,3,1,7,4,2,1,1,1,1,7,3,2,4,1,1,7,6,6,7,7,4,7,7,7,7,5,5,7,4,7,7,7,7
R_8Gj8wdKdKJFu2u9,Default Response Set,Anonymous,NA,NA,0,2015-03-19 08:36:52,2015-03-19 08:38:28,1,1120251631,iZXUO4qzTRQEGI0QNiDdNA**,27197,Qual712-0618WaterUtilities,1,NA,96,16837381986733,1,1,1,5,4,4,4,4,5,4,4,4,4,6,5,1,6,6,6,6,5,5,6,5,6,6,6,5,5,6,6,6,5,5
R_bKt4gf4ktiWy7nn,Default Response Set,Anonymous,NA,NA,0,2015-03-19 08:37:11,2015-03-19 08:41:49,1,1277367733,iZXUO4qzTRQWO1LLfsU9HQ**,27197,Qual712-0618WaterUtilities,1,NA,278,19198836999793,1,3,1,1,2,6,7,7,6,3,3,3,1,4,4,1,6,4,4,2,2,4,5,4,5,4,4,4,4,4,4,3,4,2
R_6ySqjFaJbaLUG69,Default Response Set,Anonymous,NA,NA,0,2015-03-19 08:40:14,2015-03-19 08:41:51,1,1260238871,iZXUO4qzTRQ2iZGhrGJNgg**,27197,Qual712-0618WaterUtilities,2,attention,97,NA,1,1,1,4,3,4,3,4,4,3,3,5,4,4,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_6M2YKn0ypBBnGPr,Default Response Set,Anonymous,NA,NA,0,2015-03-19 08:40:00,2015-03-19 08:41:56,1,1175248414,iZXUO4qzTRQ90FzMjgxBtw**,27197,Qual712-0618WaterUtilities,1,NA,116,17663983635223,1,2,1,7,1,1,1,4,1,7,7,7,7,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
