Sample_No,Date,Sample_Point,Town,Measure,Result,Units
600330,2069-01-16,SN_12633,Snake's Canyon,Chlorine Total,0.025,mg/L
624842,2069-01-16,ME_19428,Merton,E. coli,0,Orgs/100mL
697007,2069-01-16,TA_15138,Tarnstead,E. coli,0,Orgs/100mL
672016,2069-01-16,WA_15863,Wakefield,E. coli,0,Orgs/100mL
623470,2069-01-16,SO_12411,Southwold,E. coli,0,Orgs/100mL
674280,2069-01-16,SW_17608,Swadlincote,E. coli,0,Orgs/100mL
634301,2069-01-16,SN_12633,Snake's Canyon,E. coli,0,Orgs/100mL
620904,2069-01-16,SW_17608,Swadlincote,THM,0.021,mg/L
618273,2069-01-16,SO_12411,Southwold,THM,0.003,mg/L
677705,2069-01-16,TA_15138,Tarnstead,Turbidity,3.72,NTU
672512,2069-01-16,ME_19428,Merton,Turbidity,0.2,NTU
698170,2069-01-16,WA_15863,Wakefield,Turbidity,0.2,NTU
625439,2069-01-16,SO_12411,Southwold,Turbidity,0.2,NTU
682443,2069-01-16,SW_17608,Swadlincote,Turbidity,0.2,NTU
647502,2069-01-16,SN_12633,Snake's Canyon,Turbidity,0.2,NTU
674587,2069-01-18,BL_11064,Blancathey,Chlorine Total,0.18,mg/L
609499,2069-01-18,BL_11064,Blancathey,E. coli,0,Orgs/100mL
668175,2069-01-18,BL_11064,Blancathey,Turbidity,0.2,NTU
687377,2069-01-23,WA_12574,Wakefield,Chlorine Total,1.15,mg/L
676798,2069-01-23,SW_14500,Swadlincote,Chlorine Total,0.25,mg/L
615679,2069-01-23,TA_16763,Tarnstead,Chlorine Total,0.05,mg/L
607829,2069-01-23,ME_15385,Merton,Chlorine Total,0.05,mg/L
656170,2069-01-23,SN_10238,Snake's Canyon,Chlorine Total,0.025,mg/L
641917,2069-01-23,SO_17995,Southwold,Chlorine Total,0.025,mg/L
682897,2069-01-23,TA_16763,Tarnstead,E. coli,0,Orgs/100mL
602509,2069-01-23,ME_15385,Merton,E. coli,0,Orgs/100mL
693325,2069-01-23,SW_14500,Swadlincote,E. coli,0,Orgs/100mL
603836,2069-01-23,SN_10238,Snake's Canyon,E. coli,0,Orgs/100mL
670589,2069-01-23,WA_12574,Wakefield,E. coli,0,Orgs/100mL
671155,2069-01-23,SO_17995,Southwold,E. coli,0,Orgs/100mL
623529,2069-01-23,ME_15385,Merton,THM,0.026,mg/L
629974,2069-01-23,TA_16763,Tarnstead,THM,0.003,mg/L
638727,2069-01-23,SN_10238,Snake's Canyon,THM,0.003,mg/L
659889,2069-01-23,WA_12574,Wakefield,THM,0.002,mg/L
652093,2069-01-23,TA_16763,Tarnstead,Turbidity,0.2,NTU
668791,2069-01-23,ME_15385,Merton,Turbidity,0.2,NTU
674014,2069-01-23,SW_14500,Swadlincote,Turbidity,0.2,NTU
682532,2069-01-23,SN_10238,Snake's Canyon,Turbidity,0.2,NTU
651288,2069-01-23,WA_12574,Wakefield,Turbidity,0.2,NTU
677434,2069-01-23,SO_17995,Southwold,Turbidity,0.2,NTU
655200,2069-01-25,BL_19383,Blancathey,Chlorine Total,0.38,mg/L
645093,2069-01-25,BL_19383,Blancathey,E. coli,0,Orgs/100mL
659151,2069-01-25,BL_19383,Blancathey,Turbidity,0.2,NTU
686835,2069-01-30,SW_14394,Swadlincote,Chlorine Total,0.35,mg/L
614424,2069-01-30,WA_14286,Wakefield,Chlorine Total,0.12,mg/L
612134,2069-01-30,SN_11009,Snake's Canyon,Chlorine Total,0.025,mg/L
620947,2069-01-30,SO_13001,Southwold,Chlorine Total,0.025,mg/L
601333,2069-01-30,ME_12236,Merton,Chlorine Total,0.025,mg/L
604410,2069-01-30,TA_13630,Tarnstead,Chlorine Total,0.025,mg/L
648790,2069-01-30,SN_11009,Snake's Canyon,E. coli,0,Orgs/100mL
666149,2069-01-30,SO_13001,Southwold,E. coli,0,Orgs/100mL
605532,2069-01-30,WA_14286,Wakefield,E. coli,0,Orgs/100mL
665030,2069-01-30,ME_12236,Merton,E. coli,0,Orgs/100mL
673195,2069-01-30,SW_14394,Swadlincote,E. coli,0,Orgs/100mL
617565,2069-01-30,TA_13630,Tarnstead,E. coli,0,Orgs/100mL
622347,2069-01-30,SN_11009,Snake's Canyon,Turbidity,0.2,NTU
617805,2069-01-30,SO_13001,Southwold,Turbidity,0.2,NTU
662862,2069-01-30,WA_14286,Wakefield,Turbidity,0.2,NTU
631788,2069-01-30,ME_12236,Merton,Turbidity,0.2,NTU
646059,2069-01-30,SW_14394,Swadlincote,Turbidity,0.2,NTU
661844,2069-01-30,TA_13630,Tarnstead,Turbidity,0.2,NTU
602946,2069-02-01,BL_10901,Blancathey,Chlorine Total,0.2,mg/L
688647,2069-02-01,BL_10901,Blancathey,E. coli,0,Orgs/100mL
607228,2069-02-01,BL_10901,Blancathey,Turbidity,0.2,NTU
610438,2069-02-06,WA_11283,Wakefield,Chlorine Total,1.15,mg/L
652375,2069-02-06,SW_10228,Swadlincote,Chlorine Total,0.46,mg/L
626244,2069-02-06,WA_12344,Wakefield,Chlorine Total,0.24,mg/L
681971,2069-02-06,SN_12633,Snake's Canyon,Chlorine Total,0.24,mg/L
623687,2069-02-06,SO_15923,Southwold,Chlorine Total,0.09,mg/L
628090,2069-02-06,TA_13119,Tarnstead,Chlorine Total,0.07,mg/L
682780,2069-02-06,ME_19428,Merton,Chlorine Total,0.06,mg/L
686555,2069-02-06,TA_13119,Tarnstead,E. coli,0,Orgs/100mL
628964,2069-02-06,SW_10228,Swadlincote,E. coli,0,Orgs/100mL
602580,2069-02-06,ME_19428,Merton,E. coli,0,Orgs/100mL
617514,2069-02-06,WA_12344,Wakefield,E. coli,0,Orgs/100mL
638036,2069-02-06,SN_12633,Snake's Canyon,E. coli,0,Orgs/100mL
678203,2069-02-06,SO_15923,Southwold,E. coli,0,Orgs/100mL
655823,2069-02-06,WA_11283,Wakefield,E. coli,0,Orgs/100mL
646594,2069-02-06,ME_19428,Merton,THM,0.26344,mg/L
638134,2069-02-06,WA_12344,Wakefield,THM,0.088,mg/L
681378,2069-02-06,WA_12344,Wakefield,Turbidity,0.3,NTU
623708,2069-02-06,TA_13119,Tarnstead,Turbidity,0.2,NTU
625190,2069-02-06,SW_10228,Swadlincote,Turbidity,0.2,NTU
629037,2069-02-06,ME_19428,Merton,Turbidity,0.2,NTU
655267,2069-02-06,SN_12633,Snake's Canyon,Turbidity,0.2,NTU
614915,2069-02-06,SO_15923,Southwold,Turbidity,0.1,NTU
668599,2069-02-08,BL_11246,Blancathey,Chlorine Total,0.43,mg/L
629618,2069-02-08,BL_11246,Blancathey,E. coli,0,Orgs/100mL
644486,2069-02-08,BL_11246,Blancathey,THM,0.13,mg/L
641038,2069-02-08,BL_11246,Blancathey,Turbidity,0.2,NTU
673211,2069-02-13,WA_11512,Wakefield,Chlorine Total,0.92,mg/L
678528,2069-02-13,SW_10733,Swadlincote,Chlorine Total,0.61,mg/L
669792,2069-02-13,SN_19642,Snake's Canyon,Chlorine Total,0.29,mg/L
611416,2069-02-13,ME_15385,Merton,Chlorine Total,0.2,mg/L
629642,2069-02-13,SO_17522,Southwold,Chlorine Total,0.1,mg/L
680047,2069-02-13,TA_16957,Tarnstead,Chlorine Total,0.08,mg/L
618583,2069-02-13,ME_15385,Merton,E. coli,0,Orgs/100mL
681341,2069-02-13,WA_11512,Wakefield,E. coli,0,Orgs/100mL
675246,2069-02-13,SN_19642,Snake's Canyon,E. coli,0,Orgs/100mL
652562,2069-02-13,SO_17522,Southwold,E. coli,0,Orgs/100mL
646977,2069-02-13,SW_10733,Swadlincote,E. coli,0,Orgs/100mL
697626,2069-02-13,TA_16957,Tarnstead,E. coli,0,Orgs/100mL
602287,2069-02-13,SW_10733,Swadlincote,THM,0.13,mg/L
636820,2069-02-13,SN_19642,Snake's Canyon,THM,0.12,mg/L
625000,2069-02-13,SO_17522,Southwold,THM,0.12,mg/L
678077,2069-02-13,SN_19642,Snake's Canyon,Turbidity,0.3,NTU
692394,2069-02-13,SO_17522,Southwold,Turbidity,0.2,NTU
635203,2069-02-13,SW_10733,Swadlincote,Turbidity,0.2,NTU
684505,2069-02-13,TA_16957,Tarnstead,Turbidity,0.2,NTU
648271,2069-02-13,ME_15385,Merton,Turbidity,0.1,NTU
662143,2069-02-13,WA_11512,Wakefield,Turbidity,0.1,NTU
609358,2069-02-15,BL_10984,Blancathey,Chlorine Total,0.73,mg/L
632669,2069-02-15,BL_10984,Blancathey,E. coli,0,Orgs/100mL
623994,2069-02-15,BL_10984,Blancathey,Turbidity,0.2,NTU
683700,2069-02-20,WA_11471,Wakefield,Chlorine Total,0.79,mg/L
658611,2069-02-20,SW_17048,Swadlincote,Chlorine Total,0.71,mg/L
673393,2069-02-20,ME_19428,Merton,Chlorine Total,0.45,mg/L
619217,2069-02-20,SN_10238,Snake's Canyon,Chlorine Total,0.33,mg/L
690279,2069-02-20,TA_18826,Tarnstead,Chlorine Total,0.2,mg/L
600975,2069-02-20,SO_16361,Southwold,Chlorine Total,0.15,mg/L
667844,2069-02-20,SO_16361,Southwold,E. coli,0,Orgs/100mL
612780,2069-02-20,WA_11471,Wakefield,E. coli,0,Orgs/100mL
679808,2069-02-20,ME_19428,Merton,E. coli,0,Orgs/100mL
600989,2069-02-20,TA_18826,Tarnstead,E. coli,0,Orgs/100mL
640799,2069-02-20,SN_10238,Snake's Canyon,E. coli,0,Orgs/100mL
621237,2069-02-20,SW_17048,Swadlincote,E. coli,0,Orgs/100mL
663198,2069-02-20,TA_18826,Tarnstead,THM,0.12,mg/L
619355,2069-02-20,SO_16361,Southwold,Turbidity,0.2,NTU
680321,2069-02-20,ME_19428,Merton,Turbidity,0.2,NTU
662374,2069-02-20,SW_17048,Swadlincote,Turbidity,0.2,NTU
676065,2069-02-20,WA_11471,Wakefield,Turbidity,0.1,NTU
666140,2069-02-20,TA_18826,Tarnstead,Turbidity,0.1,NTU
633402,2069-02-20,SN_10238,Snake's Canyon,Turbidity,0.1,NTU
609948,2069-02-22,BL_12796,Blancathey,Chlorine Total,0.96,mg/L
643591,2069-02-22,BL_12796,Blancathey,E. coli,0,Orgs/100mL
621923,2069-02-22,BL_12796,Blancathey,Turbidity,0.2,NTU
610767,2069-02-27,WA_16411,Wakefield,Chlorine Total,2.04,mg/L
658298,2069-02-27,SW_15551,Swadlincote,Chlorine Total,0.54,mg/L
691292,2069-02-27,SN_12633,Snake's Canyon,Chlorine Total,0.32,mg/L
675093,2069-02-27,SO_18289,Southwold,Chlorine Total,0.31,mg/L
640787,2069-02-27,TA_19639,Tarnstead,Chlorine Total,0.23,mg/L
629385,2069-02-27,ME_14915,Merton,Chlorine Total,0.19,mg/L
625202,2069-02-27,SN_12633,Snake's Canyon,E. coli,3,Orgs/100mL
648619,2069-02-27,ME_14915,Merton,E. coli,2,Orgs/100mL
650901,2069-02-27,SO_18289,Southwold,E. coli,0,Orgs/100mL
610085,2069-02-27,WA_16411,Wakefield,E. coli,0,Orgs/100mL
683785,2069-02-27,SW_15551,Swadlincote,E. coli,0,Orgs/100mL
696962,2069-02-27,TA_19639,Tarnstead,E. coli,0,Orgs/100mL
606164,2069-02-27,TA_19639,Tarnstead,Turbidity,3.75,NTU
689447,2069-02-27,WA_16411,Wakefield,Turbidity,0.2,NTU
661312,2069-02-27,ME_14915,Merton,Turbidity,0.2,NTU
632231,2069-02-27,SN_12633,Snake's Canyon,Turbidity,0.2,NTU
606945,2069-02-27,SW_15551,Swadlincote,Turbidity,0.2,NTU
602493,2069-02-27,SO_18289,Southwold,Turbidity,0.1,NTU
640096,2069-03-01,BL_10027,Blancathey,Chlorine Total,1.57,mg/L
691520,2069-03-01,BL_10027,Blancathey,E. coli,0,Orgs/100mL
640875,2069-03-01,BL_10027,Blancathey,Turbidity,0.2,NTU
662416,2069-03-06,WA_17036,Wakefield,Chlorine Total,1.71,mg/L
618890,2069-03-06,SN_19642,Snake's Canyon,Chlorine Total,0.8,mg/L
698110,2069-03-06,SW_14121,Swadlincote,Chlorine Total,0.77,mg/L
639262,2069-03-06,WA_11938,Wakefield,Chlorine Total,0.71,mg/L
623312,2069-03-06,TA_18683,Tarnstead,Chlorine Total,0.37,mg/L
600542,2069-03-06,SO_13252,Southwold,Chlorine Total,0.2,mg/L
651445,2069-03-06,ME_12236,Merton,Chlorine Total,0.13,mg/L
683576,2069-03-06,ME_12236,Merton,E. coli,0,Orgs/100mL
653300,2069-03-06,WA_17036,Wakefield,E. coli,0,Orgs/100mL
681521,2069-03-06,SN_19642,Snake's Canyon,E. coli,0,Orgs/100mL
624474,2069-03-06,SO_13252,Southwold,E. coli,0,Orgs/100mL
646292,2069-03-06,TA_18683,Tarnstead,E. coli,0,Orgs/100mL
656960,2069-03-06,SW_14121,Swadlincote,E. coli,0,Orgs/100mL
664242,2069-03-06,WA_11938,Wakefield,E. coli,0,Orgs/100mL
628118,2069-03-06,ME_12236,Merton,THM,0.12,mg/L
622740,2069-03-06,TA_18683,Tarnstead,Turbidity,1.09,NTU
662277,2069-03-06,ME_12236,Merton,Turbidity,0.2,NTU
633976,2069-03-06,SW_14121,Swadlincote,Turbidity,0.2,NTU
645432,2069-03-06,SN_19642,Snake's Canyon,Turbidity,0.1,NTU
652909,2069-03-06,SO_13252,Southwold,Turbidity,0.1,NTU
616560,2069-03-06,WA_11938,Wakefield,Turbidity,0.1,NTU
609527,2069-03-08,BL_15407,Blancathey,Chlorine Total,1.32,mg/L
649740,2069-03-08,BL_15407,Blancathey,E. coli,0,Orgs/100mL
620623,2069-03-08,BL_15407,Blancathey,THM,0.1,mg/L
601695,2069-03-08,BL_15407,Blancathey,Turbidity,0.2,NTU
672643,2069-03-14,WA_13998,Wakefield,Chlorine Total,1.39,mg/L
691439,2069-03-14,SW_15541,Swadlincote,Chlorine Total,0.73,mg/L
666083,2069-03-14,ME_19428,Merton,Chlorine Total,0.65,mg/L
668568,2069-03-14,TA_18370,Tarnstead,Chlorine Total,0.56,mg/L
675445,2069-03-14,SO_12771,Southwold,Chlorine Total,0.49,mg/L
610423,2069-03-14,SN_12633,Snake's Canyon,Chlorine Total,0.25,mg/L
630027,2069-03-14,ME_19428,Merton,E. coli,0,Orgs/100mL
658638,2069-03-14,SN_12633,Snake's Canyon,E. coli,0,Orgs/100mL
622915,2069-03-14,SW_15541,Swadlincote,E. coli,0,Orgs/100mL
643403,2069-03-14,SO_12771,Southwold,E. coli,0,Orgs/100mL
613488,2069-03-14,TA_18370,Tarnstead,E. coli,0,Orgs/100mL
618842,2069-03-14,WA_13998,Wakefield,E. coli,0,Orgs/100mL
668111,2069-03-14,SN_12633,Snake's Canyon,THM,0.21,mg/L
624103,2069-03-14,SO_12771,Southwold,THM,0.14,mg/L
628768,2069-03-14,SW_15541,Swadlincote,THM,0.13,mg/L
631151,2069-03-14,ME_19428,Merton,Turbidity,0.3,NTU
650502,2069-03-14,SN_12633,Snake's Canyon,Turbidity,0.3,NTU
605081,2069-03-14,TA_18370,Tarnstead,Turbidity,0.3,NTU
672443,2069-03-14,SW_15541,Swadlincote,Turbidity,0.2,NTU
693113,2069-03-14,SO_12771,Southwold,Turbidity,0.2,NTU
628808,2069-03-14,WA_13998,Wakefield,Turbidity,0.2,NTU
624928,2069-03-16,BL_15694,Blancathey,Chlorine Total,1.43,mg/L
603369,2069-03-16,BL_15694,Blancathey,E. coli,0,Orgs/100mL
608658,2069-03-16,BL_15694,Blancathey,Turbidity,0.2,NTU
609093,2069-03-20,WA_16258,Wakefield,Chlorine Total,1.67,mg/L
697464,2069-03-20,SN_11009,Snake's Canyon,Chlorine Total,1.42,mg/L
671604,2069-03-20,SO_12411,Southwold,Chlorine Total,1.25,mg/L
641177,2069-03-20,TA_15138,Tarnstead,Chlorine Total,1.02,mg/L
646970,2069-03-20,SW_17608,Swadlincote,Chlorine Total,0.75,mg/L
693420,2069-03-20,ME_12236,Merton,Chlorine Total,0.34,mg/L
626675,2069-03-20,SN_11009,Snake's Canyon,E. coli,0,Orgs/100mL
639407,2069-03-20,TA_15138,Tarnstead,E. coli,0,Orgs/100mL
659496,2069-03-20,SO_12411,Southwold,E. coli,0,Orgs/100mL
632880,2069-03-20,ME_12236,Merton,E. coli,0,Orgs/100mL
621084,2069-03-20,SW_17608,Swadlincote,E. coli,0,Orgs/100mL
695611,2069-03-20,WA_16258,Wakefield,E. coli,0,Orgs/100mL
643095,2069-03-20,TA_15138,Tarnstead,THM,0.024,mg/L
655024,2069-03-20,WA_16258,Wakefield,THM,0.007,mg/L
616865,2069-03-20,TA_15138,Tarnstead,Turbidity,4.48,NTU
610392,2069-03-20,SN_11009,Snake's Canyon,Turbidity,0.2,NTU
646439,2069-03-20,SO_12411,Southwold,Turbidity,0.2,NTU
615608,2069-03-20,ME_12236,Merton,Turbidity,0.2,NTU
681230,2069-03-20,SW_17608,Swadlincote,Turbidity,0.2,NTU
624430,2069-03-20,WA_16258,Wakefield,Turbidity,0.2,NTU
664705,2069-03-22,BL_11064,Blancathey,Chlorine Total,1.02,mg/L
668600,2069-03-22,BL_11064,Blancathey,E. coli,0,Orgs/100mL
662394,2069-03-22,BL_11064,Blancathey,Turbidity,0.2,NTU
694720,2069-03-27,TA_16763,Tarnstead,Chlorine Total,1.41,mg/L
626401,2069-03-27,SN_10238,Snake's Canyon,Chlorine Total,1.16,mg/L
651033,2069-03-27,SO_17995,Southwold,Chlorine Total,1.15,mg/L
676733,2069-03-27,WA_10539,Wakefield,Chlorine Total,0.72,mg/L
641592,2069-03-27,ME_15385,Merton,Chlorine Total,0.4,mg/L
646060,2069-03-27,SW_14500,Swadlincote,Chlorine Total,0.15,mg/L
639879,2069-03-27,TA_16763,Tarnstead,E. coli,0,Orgs/100mL
693646,2069-03-27,ME_15385,Merton,E. coli,0,Orgs/100mL
613268,2069-03-27,SW_14500,Swadlincote,E. coli,0,Orgs/100mL
633867,2069-03-27,SN_10238,Snake's Canyon,E. coli,0,Orgs/100mL
662561,2069-03-27,SO_17995,Southwold,E. coli,0,Orgs/100mL
627232,2069-03-27,WA_10539,Wakefield,E. coli,0,Orgs/100mL
615038,2069-03-27,TA_16763,Tarnstead,Turbidity,0.2,NTU
613984,2069-03-27,ME_15385,Merton,Turbidity,0.2,NTU
600019,2069-03-27,SW_14500,Swadlincote,Turbidity,0.2,NTU
687439,2069-03-27,SO_17995,Southwold,Turbidity,0.2,NTU
652005,2069-03-27,WA_10539,Wakefield,Turbidity,0.2,NTU
631370,2069-03-27,SN_10238,Snake's Canyon,Turbidity,0.1,NTU
642777,2069-03-29,BL_19383,Blancathey,Chlorine Total,1.49,mg/L
682654,2069-03-29,BL_19383,Blancathey,E. coli,0,Orgs/100mL
698428,2069-03-29,BL_19383,Blancathey,Turbidity,0.2,NTU
650377,2069-04-03,WA_19229,Wakefield,Chlorine Total,2.03,mg/L
686268,2069-04-03,SN_12633,Snake's Canyon,Chlorine Total,1.31,mg/L
659542,2069-04-03,SO_13001,Southwold,Chlorine Total,1.15,mg/L
642842,2069-04-03,ME_12236,Merton,Chlorine Total,0.52,mg/L
656847,2069-04-03,TA_13630,Tarnstead,Chlorine Total,0.5,mg/L
690892,2069-04-03,SW_14394,Swadlincote,Chlorine Total,0.37,mg/L
657260,2069-04-03,SO_13001,Southwold,E. coli,0,Orgs/100mL
695077,2069-04-03,ME_12236,Merton,E. coli,0,Orgs/100mL
652440,2069-04-03,SN_12633,Snake's Canyon,E. coli,0,Orgs/100mL
666139,2069-04-03,SW_14394,Swadlincote,E. coli,0,Orgs/100mL
660255,2069-04-03,TA_13630,Tarnstead,E. coli,0,Orgs/100mL
659690,2069-04-03,WA_19229,Wakefield,E. coli,0,Orgs/100mL
689051,2069-04-03,SO_13001,Southwold,Turbidity,0.2,NTU
682927,2069-04-03,ME_12236,Merton,Turbidity,0.2,NTU
660559,2069-04-03,SN_12633,Snake's Canyon,Turbidity,0.2,NTU
674408,2069-04-03,SW_14394,Swadlincote,Turbidity,0.2,NTU
613613,2069-04-03,TA_13630,Tarnstead,Turbidity,0.2,NTU
604524,2069-04-03,WA_19229,Wakefield,Turbidity,0.2,NTU
631189,2069-04-05,BL_10901,Blancathey,Chlorine Total,1.53,mg/L
636582,2069-04-05,BL_10901,Blancathey,E. coli,0,Orgs/100mL
679797,2069-04-05,BL_10901,Blancathey,Turbidity,7.5,NTU
633003,2069-04-10,WA_12574,Wakefield,Chlorine Total,1.59,mg/L
606838,2069-04-10,WA_15863,Wakefield,Chlorine Total,1.22,mg/L
657702,2069-04-10,SN_10238,Snake's Canyon,Chlorine Total,1.04,mg/L
674847,2069-04-10,TA_13119,Tarnstead,Chlorine Total,0.71,mg/L
697284,2069-04-10,ME_19428,Merton,Chlorine Total,0.38,mg/L
640615,2069-04-10,SW_10228,Swadlincote,Chlorine Total,0.26,mg/L
639347,2069-04-10,SO_15923,Southwold,Chlorine Total,0.17,mg/L
648493,2069-04-10,TA_13119,Tarnstead,E. coli,0,Orgs/100mL
649013,2069-04-10,SW_10228,Swadlincote,E. coli,0,Orgs/100mL
669388,2069-04-10,ME_19428,Merton,E. coli,0,Orgs/100mL
639226,2069-04-10,WA_15863,Wakefield,E. coli,0,Orgs/100mL
608487,2069-04-10,SN_10238,Snake's Canyon,E. coli,0,Orgs/100mL
699907,2069-04-10,SO_15923,Southwold,E. coli,0,Orgs/100mL
692784,2069-04-10,WA_12574,Wakefield,E. coli,0,Orgs/100mL
652346,2069-04-10,WA_12574,Wakefield,THM,0.005,mg/L
623216,2069-04-10,ME_19428,Merton,THM,0.004,mg/L
688577,2069-04-10,WA_12574,Wakefield,Turbidity,0.3,NTU
655911,2069-04-10,TA_13119,Tarnstead,Turbidity,0.2,NTU
653532,2069-04-10,SW_10228,Swadlincote,Turbidity,0.2,NTU
695238,2069-04-10,ME_19428,Merton,Turbidity,0.2,NTU
696855,2069-04-10,SN_10238,Snake's Canyon,Turbidity,0.2,NTU
688891,2069-04-10,SO_15923,Southwold,Turbidity,0.2,NTU
653135,2069-04-12,BL_11246,Blancathey,Chlorine Total,1.16,mg/L
663481,2069-04-12,BL_11246,Blancathey,E. coli,0,Orgs/100mL
614047,2069-04-12,BL_11246,Blancathey,THM,0.005,mg/L
606452,2069-04-12,BL_11246,Blancathey,Turbidity,0.1,NTU
660162,2069-04-18,WA_14286,Wakefield,Chlorine Total,1.25,mg/L
653970,2069-04-18,SN_19642,Snake's Canyon,Chlorine Total,1.16,mg/L
648641,2069-04-18,SO_16361,Southwold,Chlorine Total,0.62,mg/L
687338,2069-04-18,ME_14915,Merton,Chlorine Total,0.06,mg/L
622958,2069-04-18,TA_18826,Tarnstead,Chlorine Total,0.025,mg/L
605901,2069-04-18,SW_10733,Swadlincote,Chlorine Total,0.025,mg/L
622912,2069-04-18,SO_16361,Southwold,E. coli,0,Orgs/100mL
672149,2069-04-18,WA_14286,Wakefield,E. coli,0,Orgs/100mL
611192,2069-04-18,TA_18826,Tarnstead,E. coli,0,Orgs/100mL
624096,2069-04-18,ME_14915,Merton,E. coli,0,Orgs/100mL
674534,2069-04-18,SN_19642,Snake's Canyon,E. coli,0,Orgs/100mL
604255,2069-04-18,SW_10733,Swadlincote,E. coli,0,Orgs/100mL
677532,2069-04-18,SO_16361,Southwold,THM,0.003,mg/L
677443,2069-04-18,SW_10733,Swadlincote,THM,0.003,mg/L
618900,2069-04-18,ME_14915,Merton,Turbidity,0.3,NTU
694519,2069-04-18,SO_16361,Southwold,Turbidity,0.2,NTU
618177,2069-04-18,TA_18826,Tarnstead,Turbidity,0.2,NTU
662091,2069-04-18,SN_19642,Snake's Canyon,Turbidity,0.2,NTU
